"","engword","meaning","langgroup","setword"
"19174","narrow","narrow",NA,"*(noise)"
"19175","narrow","narrow bridge","PPH","*t<ag>aytay"
"19176","narrow","narrow opening or passage between two things","PWMP","*selat"
"19177","narrow","narrow, tight","PPH","*piet"
"19178","narrow","narrow, tight, confined","PMP","*gipit"
"19179","narrow","narrow; pinch between tongs, etc.","PAN","*kipit"
"19180","narrow","narrow; squeeze tightly","PWMP","*sempit"
"19181","narrow","narrow; to pinch; tongs","PWMP","*supit"
"19182","narrow","pinch together; narrow","PWMP","*gu(m)pit"
"19183","narrow","press, squeeze together; narrow",NA,"*-pit"
"19184","narrow-necked","narrow","PWMP ","*kalala<U+014B>"
"19185","nasal","a cold; nasal mucus, runny nose","PPH","*sip(e)qun"
"19186","nasal","dried nasal mucus","PPH","*kula<U+014B>ut"
"19187","nasal","nasal area; snout","PAN","*<U+014B>usuq"
"19188","nasal","nasal mucus","PMP","*<U+014B>uhuR"
"19189","nasal","nasal mucus","PAN","*<U+014B>uSuR"
"19190","nasal","nasal mucus, snot","PMP","*pi<U+014B>(e)qut"
"19191","nasal","nasal mucus, snot","PMP","*pi<U+014B>us"
"19192","nasal","nasal mucus, snot","PMP ","*idus"
"19193","nasal","nasal mucus; blow the nose","PWMP","*se<U+014B>a1"
"19194","nasal discharge","nasal discharge",NA,"*(loan)"
"19195","Naso","short snouted unicornfish: Naso spp.","POC","*taRa"
"19196","Naso","unicorn fish, Naso  spp.","PMP ","*qumi"
"19197","Naso","unicorn fish, Naso spp.","PMP ","*qumay"
"19198","Naso","unicorn fish: Naso unicornis","POC","*mwanoRe"
"19199","native","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan","PMP","*anak"
"19200","native","native spinach, Amaranth","PPH","*kulitis"
"19201","natural","any natural mark on human skin: birthmark, freckle, mole","PMP ","*qila"
"19202","natural","natural cockspur (cf *tazi, artificial cockspur)","PMP","*tada"
"19203","natural","natural sound","PAN","*qiu<U+014B>1"
"19204","natural","natural spring, fresh water spring","POC","*tupuR"
"19205","natural","natural spring, fresh water spring","PMP","*tubuR"
"19206","natural","natural spring, fresh water spring","POC","*topuR"
"19207","natural","natural spring, fresh water spring","PMP","*tebuR"
"19208","natural","natural spring, fresh water spring","POC","*topuc"
"19209","natural","natural spring, fresh water spring","PAN","*Cebuj"
"19210","natural","power in natural phenomena; thunder, storm wind","POC","*mana2"
"19211","natural","to stupefy fish with natural plant poisons","PWMP","*ma-nuba"
"19212","nature","ghost, ancestral spirit; nature spirit; corpse; owl; various plants","PMP","*qanitu"
"19213","nature","invisible nature spirit","PWMP ","*buni2"
"19214","nature","nature spirit","PMP ","*imbuk"
"19215","nature","nature, character","PMP","*k<in>a-tau-an"
"19216","nature","nature, character","PAN","*k<in>a-Cau-an"
"19217","Nauclea","a tree: Nauclea sp.","PMP ","*ba<U+014B>kal"
"19218","naucrates","suckerfish, remora: Echineis naucrates; hold on by biting","POC","*komi"
"19219","naucrates","suckerfish, remora: Echineis naucrates; hold on by biting","PMP","*kemi"
"19220","naucrates","suckerfish, remora: Echineis naucrates; hold on by biting’","PMP","*gemi"
"19221","nausea","nausea",NA,"*(noise)"
"19222","nausea","nausea, nauseated","PWMP","*luya1"
"19223","nauseated","nausea, nauseated","PWMP","*luya1"
"19224","nautilus","type of shell, possibly nautilus","POC","*bio"
"19225","navel","hypogastrium, abdomen below the navel","PPH","*pus(e)qun"
"19226","navel","hypogastrium, abdomen below the navel","PPH","*pus(e)qu<U+014B>"
"19227","navel","navel","POC","*pure"
"19228","navel","navel","POC","*piso2"
"19229","navel","navel","POC","*bito"
"19230","navel","navel","POC","*buto"
"19231","navel","navel, umbilical cord","PAN-F","*pujek"
"19232","navel","navel, umbilical cord","PAN-F","*puja"
"19233","navel","navel, umbilicus","POC","*pusoc"
"19234","navel","navel, umbilicus; mid","PMP","*pusej"
"19235","navel","umbilicus, navel cord","PWMP ","*talih pusej"
"19236","near","broil; warm oneself or something near a fire","PAN","*da<U+014B>da<U+014B>1"
"19237","near","dry near a fire",NA,"*-ga<U+014B>"
"19238","near","dusky, twilight, as near the end of day","PWMP","*pete<U+014B>"
"19239","near","estuary, shore near the mouth of a river","PMP","*saba<U+014B>1"
"19240","near","heat or dry something near a fire","PWMP","*ga<U+014B>ga<U+014B>"
"19241","near","littoral sea, sea near the shore","PMP","*daRat"
"19242","near","near","POC","*kara<U+014B>i"
"19243","near","near","POC","*karani"
"19244","near","near","PMP","*adani"
"19245","near","near","POC","*ra<U+014B>i"
"19246","near","near","PCEMP","*da<U+014B>i"
"19247","near","near","POC","*tata2"
"19248","near","near, close by","PWMP ","*hampir"
"19249","near","near, come near; edge, border","PAN","*ipit"
"19250","near","near, nearly",NA,"*(noise)"
"19251","near","pass by or near","PWMP","*qaliwat"
"19252","near","place something near a fire","PAN","*da<U+014B>da<U+014B>-an"
"19253","near","stand or be placed near to someone or something","PPH","*sai<U+014B>"
"19254","near","to be dried near a fire or by the sun","PWMP","*da<U+014B>da<U+014B>-en"
"19255","near","to dessicate, parch near a fire","PWMP","*salay"
"19256","near","to pass around or near someone or something","PWMP","*liwet"
"19257","near","warm oneself or something near a fire; heat or dry near a fire","PMP","*da<U+014B>da<U+014B>1"
"19258","nearly","near, nearly",NA,"*(noise)"
"19259","neat","to arrange, make something neat or proper","PPH","*áyus"
"19260","necessary","do, make, create, perform; to work; to wager: deed; thing; creation; behavior, conduct, performance; work; a bet; because, on account of, through the action of; need, use for something; necessary; for (benefactive)","PMP","*buhat2"
"19261","necessary","necessary",NA,"*(loan)"
"19262","neck","constriction around neck","PWMP","*cekig"
"19263","neck","kind of cockatoo with red neck feathers","POC","*supiri"
"19264","neck","kind of cockatoo with red neck feathers","POC","*sipiri"
"19265","neck","nape of the neck","PWMP","*te<U+014B>kuk"
"19266","neck","nape of the neck","PWMP","*batuk2"
"19267","neck","nape of the neck","PMP","*te<U+014B>uq"
"19268","neck","nape of the neck","PWMP ","*pekuq2"
"19269","neck","nape of the neck",NA,"*(near)"
"19270","neck","nape, back of the neck","PPH","*te<U+014B>el"
"19271","neck","neck","POC","*kadro"
"19272","neck","neck","POC","*Ruqa"
"19273","neck","neck","POC","*liqoR"
"19274","neck","neck","PAN","*liqeR"
"19275","neck","neck","POC","*kalo"
"19276","neck","neck shackle to prevent an animal from passing through fences","PMP ","*pagal"
"19277","neck","neck, throat",NA,"*(noise)"
"19278","necklace","beads, necklace","PMP","*unuq"
"19279","necklace","beads, necklace","PAN","*uNuq"
"19280","necklace","beads, necklace","PMP","*hinuq"
"19281","necklace","beads, necklace","PAN","*SiNuq"
"19282","necklace","beads, necklace of beads","PAN","*quNuq"
"19283","necklace","necklace","PPH","*kulintas"
"19284","necklace","necklace","PCMP ","*bui2"
"19285","need","assistance given to someone in need","PPH","*abúluy"
"19286","need","do, make, create, perform; to work; to wager: deed; thing; creation; behavior, conduct, performance; work; a bet; because, on account of, through the action of; need, use for something; necessary; for (benefactive)","PMP","*buhat2"
"19287","need","in need, in want","PWMP","*sadat"
"19288","need","well","PPH","*sa<U+014B>kap"
"19289","needed","to run out of supplies, lack something needed","PPH","*kapus"
"19290","needle","eye of a needle","PWMP","*mata nu zaRum"
"19291","needle","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"19292","needle","needle","PAN","*zaRem"
"19293","needle","needle","POC","*saRum"
"19294","needle","needle","PAN","*zaRum"
"19295","needle","pierce or remove with a needle","PMP","*sulam"
"19296","needle","pierce, as wth a needle; extract by piercing","PMP","*su<U+014B>kit"
"19297","needle","to pierce, as with a needle","PPH","*tud(e)lúk"
"19298","needle","to thread a needle","PPH","*tanúd"
"19299","needlefish","needlefish sp.","POC ","*panapa"
"19300","needlefish","needlefish, young of Istiophorus spp.","PMP","*saku2"
"19301","needy","poor, needy","PPH","*lised"
"19302","negation","particle of negation","PPh","*diq"
"19303","negation","shake the head in negation, shake the head from side","PWMP ","*ili<U+014B>3"
"19304","negative","interjection of negative emotive force","PMP ","*qisaq"
"19305","negative","negative","PWMP ","*za<U+014B>an2"
"19306","negative","negative existential: there is none","PAN-F","*uka1"
"19307","negative","negative marker","POC","*taqe1"
"19308","negative","negative marker","PPh ","*baláw"
"19309","negative","negative marker","PMP ","*bak2"
"19310","negative","negative marker","PMP ","*ati1"
"19311","negative","negative marker: no, not","PMP","*taq3"
"19312","negative","negative marker: no, not","PAN-F","*ini"
"19313","negative","negative marker: no, not","PWMP ","*aqa"
"19314","negator","negator of nominals","PWMP ","*buken1"
"19315","negator","negator of nominals; other, different","PWMP","*beken"
"19316","negator","no, not; negator of verbs and adjectives (cf *buken, *dian, *wada)","PAN","*qazi"
"19317","neglect","ignore, neglect",NA,"*(noise)"
"19318","neighbor","border on, neighbor; peer, equal","PWMP ","*sidi<U+014B>"
"19319","Neomyxus","fish sp.: mullet sp., Neomyxus chaptalii","PMP ","*qawas"
"19320","neonate","neonate (lit. 'red child')","PMP ","*anak a ma-iRaq"
"19321","Nephelium","hairy; kind of hairy fruit, rambutan: Nephelium lappaceum","PWMP","*bulu-an"
"19322","nephew","nephew, niece","PWMP ","*kam-anak-en"
"19323","neriifolia","a shrub: Euphorbia neriifolia L.","PWMP","*sudu-sudu"
"19324","nerve","artery, blood vessel, blood vein; muscle; nerve; sinew; tendon","PAN","*huRaC"
"19325","nerve","artery, blood vessel, blood vein; muscle; nerve; sinew; tendon; fiber; vein of a leaf; grain of wood; strand (of thread, rope); fishing line; root","PMP","*uRat"
"19326","nerve","weak nerves",NA,"*(noise)"
"19327","nervosa","tree with bright yellow fruit that has dry flesh: Lucuma nervosa","PPH","*tisaq"
"19328","nervous","anxious, nervous","PPH","*kabá"
"19329","nervous","anxious, nervous, restless",NA,"*(near)"
"19330","nervous","nervous spell","PWMP ","*badi"
"19331","nest","nest","PMP ","*salaR"
"19332","nest","nest",NA,"*(loan)"
"19333","nest","nest, as of a bird","PPH","*pugad"
"19334","nest","nest, lair","POC","*ñikut"
"19335","nest","nest, lair","PAN-F","*Rubu"
"19336","nest","nest, nesting place","PPH","*pugad-an"
"19337","nesting","nest, nesting place","PPH","*pugad-an"
"19338","net","a dip net","PAN","*Ra-RauS"
"19339","net","casting net","PWMP","*Rambat"
"19340","net","casting net for fishing","PAN","*tabukul"
"19341","net","casting net; spread out, as a casting net","PWMP","*Ramba<U+014B>"
"19342","net","dip net, scoop net","PMP","*lawaq1"
"19343","net","drive pigs into a net","POC ","*bubuR2"
"19344","net","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"19345","net","fine, of the mesh of a fish net","POC","*mata riki"
"19346","net","fish net",NA,"*(loan)"
"19347","net","fish net float","POC","*uton"
"19348","net","hunting net; net used in hunting","PPH","*baté<U+014B>"
"19349","net","kind of fish net or trap","PWMP ","*tuaD"
"19350","net","kind of fish net or trap","PWMP ","*siqud"
"19351","net","kind of large fishing net","PWMP","*salambaw"
"19352","net","kind of long rectangular fishing net","POC","*kupwena"
"19353","net","mend a net","POC","*qono2"
"19354","net","mend a net (intr.)","POC ","*one one"
"19355","net","mend a net (tran.)","POC ","*one-a"
"19356","net","mesh of a net","PWMP","*mata nu puket"
"19357","net","mosquito net","POC","*tai ñamuk"
"19358","net","mosquito net","POC","*tau ñamuk"
"19359","net","net bag used by men for carrying things on back","PAN-F","*kaway3"
"19360","net","noose or net trap","POC","*sari<U+014B>"
"19361","net","noose or net trap","PMP","*zari<U+014B>"
"19362","net","noose, snare; net","PPH","*síluq"
"19363","net","protective covering or enclosure; mosquito net","PPH","*kubu<U+014B>2"
"19364","net","scoop net","PAN","*RauS"
"19365","net","scoop up in a net; fetch water by scooping up","PMP","*saruk"
"19366","net","scoop up with a net; catch with snare","PPH","*ma-ñilu<U+0294>"
"19367","net","scoop up, as with a fish net","PAN","*kauS"
"19368","net","spread out, as a net or clothes on the ground to dry","PPH","*ladlád"
"19369","net","to catch with a net, scoop up","PPH","*silu<U+0294>-en"
"19370","net","to patch a hole in a net or mat","PPH","*udip"
"19371","net","to scoop up, as with a fish net","PAN","*k<um>auS"
"19372","net","to weave a net, tie strings together","PWMP","*hiket"
"19373","net","to weave, as a net","POC","*tia"
"19374","net","tree with fiber used to make fish nets","POC","*tail"
"19375","netbag","netbag, sack, pocket","POC","*ta<U+014B>a2"
"19376","nettle","stinging nettle: Laportea spp.","POC","*silato<U+014B>"
"19377","nettle","stinging nettle: Laportea spp.","PMP","*zilate<U+014B>"
"19378","nettle","stinging nettle: Laportea spp.","PMP","*zalate<U+014B>"
"19379","nettle","stinging nettle: Laportea spp.","POC","*la-lato<U+014B>"
"19380","nettle","stinging nettle: Laportea spp.","PMP","*la-late<U+014B>"
"19381","nettle","stinging nettle: Laportea spp.","POC","*lato<U+014B>"
"19382","nettle","stinging nettle: Laportea spp.","PMP","*late<U+014B>"
"19383","nettle","stinging nettle: Laportea spp.","PAN","*laCe<U+014B>"
"19384","nettle","stinging nettle: Laportea spp.","POC","*salato<U+014B>"
"19385","neutralize","tasteless; neutralize something efficacious, as an antidote for poison","PWMP","*tawaR1"
"19386","never","spoiled, gone to waste; never realized, of potential for fertility","PPH","*báqug"
"19387","new","die; dead; sick; tired (of); faint, lose consciousness; eclipse; new moon; extinguished; blocked (path); paralyzed; numb, asleep (limbs); die down (wind); waterless (springs, rivers); dry up (plants); beaten (in a game); fixed (price); terminate a matter, reach an agreement; disaster; intensive, superlative; desire intensely, be deeply in love","PMP","*m-atay"
"19388","new","first of anything; first fruits; prime, new, untainted, virgin","PMP","*bu<U+014B>as"
"19389","new","first of anything; first fruits; prime, new, untainted, virgin","PWMP ","*bu<U+014B>aR"
"19390","new","first of anything; new, untainted, virgin","PWMP ","*bu<U+014B>aR-an"
"19391","new","new","PWMP ","*ma-baqeRuh"
"19392","new","new moon, eclipse (lit. 'dead moon')","PMP ","*bulan matay"
"19393","new","new shoot of vines or creepers","PPH","*Ra<U+014B>aw1"
"19394","new","new shoots of cogon grass (Imperata cylindrica)","PMP","*mimis1"
"19395","new","new, fresh; recent(ly); youth, bachelor; beautiful, in one's prime","PMP","*baqeRu"
"19396","new","new, recent; young, fresh","PEMP","*baqoRu"
"19397","new","new; bachelor","PAN","*baqeRuh"
"19398","new","news",NA,"*(loan)"
"19399","new","send out new growth, of vegetation","POC","*tupul"
"19400","new","to hear, listen; obey; hear about; news; fame, famous; to feel, perceive through any sense other than sight","PMP","*de<U+014B>eR"
"19401","new","to hear; what is heard, news; to perceive by any sense other than sight","POC","*ro<U+014B>oR"
"19402","new","to prune a tree; new growth from pruning","PPH","*sali<U+014B>sí<U+014B>"
"19403","newborn","cry of a newborn infant","PWMP ","*uhaq"
"19404","next","beside, next to",NA,"*(noise)"
"19405","next","lie or sleep next to","PMP","*hulij"
"19406","next","lie or sleep next to","PAN","*Sulij"
"19407","next","next to","PWMP ","*pidpid"
"19408","next","next to, in close proximity","PPH","*sípi<U+014B>"
"19409","next","next; to follow in succession","PPH","*sunúd"
"19410","next","one who lies next to another","PWMP ","*ka-hulij"
"19411","next","seed set aside for the next planting","PAN","*bineSiq"
"19412","next","seed set aside for the next planting (esp. rice)","PMP","*binehiq"
"19413","next to","close by, next to",NA,"*(loan)"
"19414","nibble","gnaw, nibble","PAN","*<U+014B>et<U+014B>et"
"19415","nibble","gnaw, nibble at","PMP","*qitqit"
"19416","nibble","nibble at","PPH","*simsím"
"19417","nibble","nibble at, gnaw at something hard","POC","*bari"
"19418","nibble","nibble off, gnaw off","PAN","*qiCqiC"
"19419","nibble","nibble or gnaw at","PPH","*kibkíb"
"19420","nibble","nibble, gnaw; moth","PWMP","*getget1"
"19421","nibble","to gnaw, nibble","POC","*<U+014B>oti"
"19422","nibble","to gnaw, nibble","POC","*<U+014B>o<U+014B>ot-i"
"19423","nibble","to nibble at, peel with the teeth","PPH","*kutím"
"19424","nibble","to nibble, chew at","PWMP","*gitgit"
"19425","nibbling","move the lips rapidly, as in gnawing or nibbling on something","PPH","*kútib"
"19426","nick","nick or dent on the cutting edge of a blade","PPH","*lupi<U+014B>"
"19427","nick","notch, nick","PPH","*ti<U+014B>ab"
"19428","nick","to notch or nick something","PPH","*ti<U+014B>ab-an"
"19429","nickname","nickname (?)","PPH","*ban(e)sag"
"19430","nickname","nickname for youngest child","PWMP ","*si huaji"
"19431","niece","nephew, niece","PWMP ","*kam-anak-en"
"19432","niggardly","selfish, stingy, niggardly","PPH","*ikut2"
"19433","night","a wake for the dead, night vigil","PPH","*lámay"
"19434","night","be overcome by night, benighted","POC ","*bo<U+014B>i-a"
"19435","night","become night, turn into night","PPH","*R<um>abiqi"
"19436","night","dark of the moon, moonless night","PMP","*delem"
"19437","night","dark, night","PMP","*alem"
"19438","night","evening, night","PAN","*Rabi-an"
"19439","night","every night, happening every night","PPH","*R<in>abiqi"
"19440","night","every night, happening every night","PAN","*Rabi-Rabi"
"19441","night","it is getting dark, night is coming on","POC ","*e bo<U+014B>i"
"19442","night","last night","PMP","*ka-Rabiqi"
"19443","night","night","PAN","*beR<U+014B>i-n"
"19444","night","night","POC","*bo<U+014B>i"
"19445","night","night","PMP","*beR<U+014B>i"
"19446","night","night, dark","PMP ","*halem"
"19447","night","night, darkness","PMP","*malem"
"19448","night","night, darkness","POC ","*bu<U+014B>i"
"19449","night","nightly, every night","PMP ","*beR<U+014B>i beR<U+014B>i"
"19450","night","pitch black, as a moonless night","PPH","*<U+014B>it<U+014B>it3"
"19451","night","place where one spends the night","PWMP ","*paR-beR<U+014B>i-an"
"19452","night","stay awake all night, as in a vigil for the dead","PPH","*pulaw"
"19453","night","stay overnight, spend the night","PWMP ","*pa-beR<U+014B>i"
"19454","night","taking place at night","PPH","*Rabi-en"
"19455","night","to stay up all night, continue until daybreak","PPH","*damaR2"
"19456","night-blindness","night","PAN-F","*pukaw"
"19457","nightly","nightly, every night","PMP ","*beR<U+014B>i beR<U+014B>i"
"19458","nightmare","nightmare, fever",NA,"*(near)"
"19459","nigrum","a plant: Solanum nigrum","PMP","*hameti"
"19460","nigrum","a plant: Solanum nigrum","PAN","*SameCi"
"19461","nimble","nimble, agile, quick","POC","*sokas"
"19462","nimble","quick nimble",NA,"*(noise)"
"19463","nine","nine","PPH","*siám"
"19464","nine","nine","PMP","*siwa"
"19465","nine","nine","PAN","*Siwa"
"19466","nine","nine (of things?)","PAN","*u-Siwa"
"19467","nine","nine times","POC","*paka-siwa"
"19468","ninth","ninth","PPH","*ika-siám"
"19469","ninth","ninth","PMP","*ika-siwa"
"19470","ninth","ninth","PAN","*Sika-Siwa"
"19471","nip","pinch, nip, pluck","PMP ","*kinit"
"19472","Nipa","a swamp palm: Nipa fruticans","PMP","*nipaq"
"19473","nipa shingles for roofing","nipa shingles for roofing",NA,"*(loan)"
"19474","nipple","fruit; areca palm and nut; grain; berry; seed; nut; endosperm of a sprouting coconut; kidney; heart; finger; calf of the leg; testicle; various insects; scar tissue; roe; bud; flower; blossom; bear fruit; words, speech, or songs; meaning, contents of discussion; numeral classifier for roundish objects; buttock; Adam's apple; nipple of the breast; button; marble; tattooing","PMP","*buaq"
"19475","nipple","nipple of the breast","PMP","*mata nu susu"
"19476","nipple","nipple of the breast","PWMP","*qulu ni susu"
"19477","nit","nit, egg of a hair louse","PMP","*lisehaq, liseqah"
"19478","nit","nit, egg of a hair louse","PAN","*liseqeS"
"19479","nit","nit, egg of a louse","POC","*lisa"
"19480","nit","nit, egg of a louse","PMP ","*leseq"
"19481","nit","nit, louse egg","PWMP","*liqes"
"19482","no","negative marker: no, not","PMP","*taq3"
"19483","no","negative marker: no, not","PAN-F","*ini"
"19484","no","negative marker: no, not","PWMP ","*aqa"
"19485","no","no, not","PWMP","*enda"
"19486","no","no, not","PAN","*adi"
"19487","no","no, not","POC","*qasi2"
"19488","no","no, not","PWMP ","*inda3"
"19489","no","no, not","PWMP","*hediq"
"19490","no","no, not","PWMP","*e<U+014B>ga"
"19491","no","no, not","PMP ","*dian"
"19492","no","no, not",NA,"*(near)"
"19493","no","no, not",NA,"*(noise)"
"19494","no","no, not (probably negator of verbs and adjectives)","PWMP ","*hadiq"
"19495","no","no, not; negator of verbs and adjectives (cf *buken, *dian, *wada)","PAN","*qazi"
"19496","no","no, not; vetative marker: don't!","PMP ","*beliq2"
"19497","no","with no difference, equally to both","PMP","*sama-sama"
"19498","nobility","nobility, member of the chiefly class","PMP","*aren"
"19499","noble woman","princess, noble woman",NA,"*(loan)"
"19500","nod","bow the head, nod","PWMP ","*tuek"
"19501","nod","nod",NA,"*-tuk3"
"19502","nod","nod the head in drowsiness","PWMP ","*qantuk"
"19503","nod","nod the head in drowsiness","PWMP ","*kantuk"
"19504","nod","to nod the head, as in agreement","PPH","*ta<U+014B>uq"
"19505","node","elbow, knee; joint, node","POC","*pwatu"
"19506","node","joint, node","POC","*patu1"
"19507","node","joints, nodes","PMP","*buku buku"
"19508","node","knotty, full of knots or nodes","PPh ","*ma-buku"
"19509","node","node (as in bamboo or sugarcane); joint; knuckle; knot in wood; knot in string or rope","PMP","*bukuh"
"19510","node","node (as in bamboo or sugarcane); joint; knuckle; knot in wood; knot in string or rope; Mons veneris","POC","*buku"
"19511","node","node (as in bamboo or sugarcane); joint; knuckle; knot in wood; knot in string or rope; Mons veneris","PCEMP","*buku"
"19512","node","node, joint; knuckle; swelling under the skin","POC","*buku-buku"
"19513","node","one joint or node (as of bamboo or sugarcane)","PWMP","*sa-<U+014B>a-buku"
"19514","noise","banging noise",NA,"*-be<U+014B>1"
"19515","noise","become distracted or confused, as by noise","PWMP","*li<U+014B>áw"
"19516","noise","chirping of birds; noise, sound","PAN","*Suni"
"19517","noise","confused, disoriented by loud noise","PWMP ","*begaw"
"19518","noise","hear; noise",NA,"*-<U+014B>eR"
"19519","noise","loud, unpleasant noise","PWMP","*qi<U+014B>eR"
"19520","noise","loud, unpleasant noise","PMP","*i<U+014B>aR"
"19521","noise","make a sound or noise","PWMP ","*pa-huni"
"19522","noise","noise of flatulence","PWMP ","*ka-qetut"
"19523","noise","noise, clamor","PMP","*kuruq"
"19524","noise","noise, clamor","PAN","*quriaw"
"19525","noise","noise, commotion","POC","*uni"
"19526","noise","noise, sound","PMP ","*buñi"
"19527","noise","noise, tumult","POC","*guru"
"19528","noise","noise, tumult","PMP","*guruq"
"19529","noise","noise, tumult","PMP","*guru"
"19530","noise","noise, tumult, turmoil, confusion","PPH","*ribuk"
"19531","noise","resounding noise","POC","*rourou"
"19532","noise","stunned by great noise","PWMP ","*biRaw"
"19533","noise","sucking noise made as a signal to another person","PMP ","*misik"
"19534","noisily","suck noisily","PWMP","*cutcut"
"19535","noisy","noisy","PPH","*riak"
"19536","nominal","negator of nominals","PWMP ","*buken1"
"19537","nominal","negator of nominals; other, different","PWMP","*beken"
"19538","nominal","nominal prefix marking instruments, or products of an action","PWMP","*pa<U+014B>-"
"19539","nominal","verbal suffix marking locative voice; nominal suffix marking location","PAN","*-an"
"19540","nominal","verbal suffix marking patient or undergoer voice; nominal suffix marking product of an action or thing affected by an action","PAN","*-en"
"19541","nominate","2pl. nominate and genitive; you all, your","PCEMP","*kamiu"
"19542","nominative","1pl. excl. nominative pronoun, we (exclusive)","PAN","*k-ami"
"19543","nominative","1pl. excl. nominative pronoun, we (exclusive)","PAN","*ami"
"19544","nominative","1pl. excl. nominative, we","PAN","*i-ami"
"19545","nominative","1pl. incl. nominative and hortative pronoun","POC","*-da1"
"19546","nominative","1pl. incl. nominative and hortative pronoun","PAN","*ta-1"
"19547","nominative","1sg nominative; I","PAN","*aku"
"19548","nominative","2pl. nominative and genitive; you all, your","PMP","*kamu-yu"
"19549","nominative","2pl. nominative pronoun","PAN","*amu"
"19550","nominative","2pl. nominative, you all","PAN","*kamu-yu"
"19551","nominative","2pl. nominative, you all","PMP","*kamu2"
"19552","nominative","2pl. nominative, you all","PAN","*k-amu"
"19553","nominative","nominative case marker for common nouns","PAN","*su"
"19554","nominative","nominative case marker for plural personal names","PAN","*sa1"
"19555","nominative","nominative case marker for singular common nouns","PAN","*ya"
"19556","nominative","nominative case marker for singular personal names or kin terms used as personal names","PAN","*si1"
"19557","non-actor","genitive case marker for singular personal names and pronouns; marker of possession, part","PAN","*ni"
"19558","none","negative existential: there is none","PAN-F","*uka1"
"19559","nonetheless","conjunction: despite, nonetheless","PMP","*baka1"
"19560","non-native","non","POC","*pakaq"
"19561","non-purulent","wart; cyst; non","POC","*putiR"
"19562","non-purulent","wart; cyst; non","PCEMP","*butiR"
"19563","non-purulent","wart; cyst; non","PMP","*buteliR"
"19564","non-staple","non","PPH","*siraq2"
"19565","non-subject","2sg possessor and non","PAN","*-nu2"
"19566","noon","zenith; noon, mid","PPh","*ugtu"
"19567","noose","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"19568","noose","noose or net trap","POC","*sari<U+014B>"
"19569","noose","noose or net trap","PMP","*zari<U+014B>"
"19570","noose","noose trap","PWMP","*ziRet"
"19571","noose","noose trap","PWMP","*zeRet"
"19572","noose","noose, snare; net","PPH","*síluq"
"19573","noose","snare, noose trap; spring up suddenly, jerk up (as a fishing line or noose trap)","POC","*pintik"
"19574","noose","snare, noose trap; spring up suddenly, jerk up (as a fishing line or noose trap)","PMP","*bitik1"
"19575","North","North",NA,"*(loan)"
"19576","north","north wind","PMP","*qamihan"
"19577","north","north wind","PAN","*qamiS"
"19578","north","north; rainy season","PPh ","*qamihan-an"
"19579","north","north; winter","PAN","*qamiS-an"
"19580","north","wind that blows from the north","POC","*tokalaur"
"19581","northeast","wind from the northeast (?)","PCEMP","*raki"
"19582","nose","a cold; nasal mucus, runny nose","PPH","*sip(e)qun"
"19583","nose","bamboo nose flute","PWMP","*turali"
"19584","nose","bamboo nose flute","PMP","*tulali"
"19585","nose","bamboo nose flute","PAN","*tulani"
"19586","nose","blow the nose","POC","*pa<U+014B>usi"
"19587","nose","blow the nose",NA,"*(noise)"
"19588","nose","blow the nose by pinching off one nostril","PMP ","*ese<U+014B>"
"19589","nose","bridge of the nose","PWMP","*bata<U+014B> qiju<U+014B>"
"19590","nose","cover nose and mouth with hand","PWMP","*penpen2"
"19591","nose","nasal mucus; blow the nose","PWMP","*se<U+014B>a1"
"19592","nose","nose","POC","*icu<U+014B>"
"19593","nose","nose","POC","*ucu<U+014B>"
"19594","nose","nose","PMP ","*<U+014B>iju<U+014B>"
"19595","nose","nose","PAN","*uju<U+014B>"
"19596","nose","nose","PMP","*iju<U+014B>"
"19597","nose","nose","PWMP","*e(<U+014B>)ju<U+014B>"
"19598","nose","nose",NA,"*(noise)"
"19599","nose","pointed or prominent, of the nose","PPH","*tá<U+014B>us"
"19600","nose","snout, nose","PPH","*du<U+014B>us"
"19601","nose","snout, nose",NA,"*(noise)"
"19602","nose","tree trunk, fallen tree, log; stem of a plant; 	body; corpse; self; bridge of the nose; most important or preeminent thing; main course of a river; mushroom or bracket fungus that grows on tree trunks or decaying logs","PMP","*bata<U+014B>"
"19603","nosebleed","nosebleed","PAN-F","*<U+014B>uSuN"
