"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"990","Mentawai (Madobat)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 83","Number of Retentions: Proto Malayo-Polynesian:2","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"991","Mentawai (Salappa)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 83","Number of Retentions: Proto Malayo-Polynesian:2","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"992","Mentawai (Ulubaga)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 83","Number of Retentions: Proto Malayo-Polynesian:2","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"993","Mentawai (Bariulou)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"994","Mentawai (Bosua)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"995","Mentawai (Sioban)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:4","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"996","Mentawai (Pasapuat)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"997","Mentawai (Silabu)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:4","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"998","Mentawai (Saumanganya)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"999","Mentawai (Boriai)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:4","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"1000","Mentawai (Bulasat)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"1001","Mentawai (Sikakap)","mwv",-1.5,99,"Indonesia","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]","","Typed By: Andrew Hsiu  Checked By:","Total Data: 93","Number of Retentions: Proto Malayo-Polynesian:5","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_mnt","http://www.ethnologue.com/show_language.asp?code=mwv"
"1002","Enggano (Meok)","eno",-5.42,102.25,"Indonesia","Brendon E. Yoder (2011)","Yoder, Brendon E. 2011. Phonological and phonetic aspects of Enggano vowels. M.A. thesis, University of North Dakota.
Yoder (2011) lists both underlying and surface forms. Underlying, not surface forms, are given here. Data was collected by Yoder in Meok village, during two weeks' time in 2010.","Typed By: Andrew C. Hsiu  Checked By:","Total Data: 249","Number of Retentions: Proto Malayo-Polynesian:1","Number of Loans: 5","Austronesian:Malayo-Polynesian","http://wals.info/languoid/lect/wals_code_eno","http://www.ethnologue.com/show_language.asp?code=eno"
"1003","Simeulue","smr",2.5,96.25,"Indonesia","Hans Kähler (1961)","Kähler, Hans (1961). Simalur-German, German-Simalur dictionary [Simalur-deutsches Wörterbuch mit deutsch-simaluresischem Wörterverzeichnis]. Berlin: D. Reimer.
Macrons are replaced with colons (:).
Apostrophes are replaced with <U+0294>.","Typed By: Andrew C. Hsiu  Checked By:","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:8","Number of Loans: 0","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands","http://wals.info/languoid/lect/wals_code_sim","http://www.ethnologue.com/show_language.asp?code=smr"
"1004","Papitalai","pat",NA,NA,NA,"Jessica Cleary-Kemp","This is data from the Papitalai dialect of the Koro language, which is listed as a separate language in Ethnologue (pat). 
<br> = bilabial trill
<ch> = postalveolar affricate
<ng> = <U+014B>
<j> = postalveolar affricate or palatal stop","Typed By: Jessica Cleary-Kemp  Checked By:","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Admiralty Islands:Eastern:Manus:East",NA,"http://www.ethnologue.com/show_language.asp?code=pat"
"1005","Moor","mhz",-2.95,135.75,"Indonesia","David Kamholz","","Typed By: David Kamholz  Checked By:","Total Data: 231","Number of Retentions: Proto Malayo-Polynesian:7","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:West New Guinea:Cenderawasih Bay:Mor","http://wals.info/languoid/lect/wals_code_mor","http://www.ethnologue.com/show_language.asp?code=mhz"
"1006","Andio","bzb",NA,NA,NA,"Busenitz, Robert. 2013 [1988]. Andio word list and sentences.","","Typed By: Robert Busenitz  Checked By: David Mead","Total Data: 219","Number of Retentions: Proto Malayo-Polynesian:22","Number of Loans: 3","Austronesian:Malayo-Polynesian:Celebic:Eastern:Saluan-Banggai:Western",NA,"http://www.ethnologue.com/show_language.asp?code=bzb"
"1007","East Kara (Lemakot)","leu",-2.83,151.12,"Papua New Guinea","Matthew Dryer","","Typed By: Matthew Dryer  Checked By:","Total Data: 178","Number of Retentions: Proto Malayo-Polynesian:47","Proto-Oceanic:56Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:Lavongai-Nalik","http://wals.info/languoid/lect/wals_code_kra","http://www.ethnologue.com/show_language.asp?code=leu"
"1008","Uma (Kantewu dialect)","ppk",-1.83,120,"Indonesia","Martens, Michael","This is Kantewu (Central) dialect Uma. Other Uma dialects are Southern, Tolee<U+0294>, Tobaku, and Winatu-Tori<U+0294>untu.","I will use <U+0294> for glottal stop; ß for bilabial fricative; c for alveo-palatal affricate (always prenasalized); j for voiced alveo-palatal affricate (i.e., like English j); <U+014B> for velar nasal; ñ for alveo-palatal nasal.","Typed By: Michael P. Martens  Checked By:",NA,NA,"Total Data: 243
            Number of Retentions: Proto Malayo-Polynesian:6
             
            Number of Loans: 0","http://wals.info/languoid/lect/wals_code_uma","http://www.ethnologue.com/show_language.asp?code=ppk"
"1009","Lelepa","lpa",NA,NA,NA,"Sébastien Lacrampe","m~ is a labial velar nasal, p~ is a labial velar stop.","Typed By: Sébastien Lacrampe  Checked By:","Total Data: 192","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:81Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Central Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=lpa"
"1010","Vao","vao",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:90Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vao"
"1011","Maskelynes","klv",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 167","Number of Retentions: Proto Malayo-Polynesian:71","Proto-Oceanic:89Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=klv"
"1012","Paama (Lironesa)","pma",-16.5,168.25,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 186","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:79Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu","http://wals.info/languoid/lect/wals_code_pms","http://www.ethnologue.com/show_language.asp?code=pma"
"1013","Futuna-Aniwa (Aniwa)","fut",-19.53,170.22,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:73","Proto-Oceanic:96Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic","http://wals.info/languoid/lect/wals_code_fut","http://www.ethnologue.com/show_language.asp?code=fut"
"1014","Araki","akr",-15.67,166.92,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 131","Number of Retentions: Proto Malayo-Polynesian:56","Proto-Oceanic:69Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo","http://wals.info/languoid/lect/wals_code_ark","http://www.ethnologue.com/show_language.asp?code=akr"
"1015","Roria","rga",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 160","Number of Retentions: Proto Malayo-Polynesian:39","Proto-Oceanic:48Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=rga"
"1016","Bierebo (Yevali)","bnk",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 182","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:76Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Baki-Bierebo",NA,"http://www.ethnologue.com/show_language.asp?code=bnk"
"1017","Lamenu (Visina)","lmu",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 163","Number of Retentions: Proto Malayo-Polynesian:56","Proto-Oceanic:72Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Lamenu-Lewo",NA,"http://www.ethnologue.com/show_language.asp?code=lmu"
"1018","Mpotovoro","mvt",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:63","Proto-Oceanic:88Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mvt"
"1019","Akei (Penantsiro)","tsr",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 167","Number of Retentions: Proto Malayo-Polynesian:52","Proto-Oceanic:69Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=tsr"
"1020","Tutuba","tmi",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 152","Number of Retentions: Proto Malayo-Polynesian:55","Proto-Oceanic:73Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=tmi"
"1021","Uripiv-Wala-Rano-Atchin (Uripiv)","upv",-16,167.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 169","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:94Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1022","Lapwangtoai","nwi",-19.57,169.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 167","Number of Retentions: Proto Malayo-Polynesian:47","Proto-Oceanic:53Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_tns","http://www.ethnologue.com/show_language.asp?code=nwi"
"1023","Sie","erg",-18.83,169.17,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 201","Number of Retentions: Proto Malayo-Polynesian:52","Proto-Oceanic:64Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Erromanga","http://wals.info/languoid/lect/wals_code_err","http://www.ethnologue.com/show_language.asp?code=erg"
"1024","Vunapu","vnp",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 116","Number of Retentions: Proto Malayo-Polynesian:41","Proto-Oceanic:56Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=vnp"
"1025","Ambrym, North (Ranon)","mmg",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 164","Number of Retentions: Proto Malayo-Polynesian:56","Proto-Oceanic:72Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=mmg"
"1026","Mwerlap (Merig)","mrm",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 180","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:88Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=mrm"
"1027","Uripiv-Wala-Rano-Atchin (Rano)","upv",-16,167.33,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 114","Number of Retentions: Proto Malayo-Polynesian:49","Proto-Oceanic:69Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1028","Lakona","lkn",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:81Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu",NA,"http://www.ethnologue.com/show_language.asp?code=lkn"
"1029","Malo (South)","mla",-15.67,167.17,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 75","Number of Retentions: Proto Malayo-Polynesian:30","Proto-Oceanic:39Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo","http://wals.info/languoid/lect/wals_code_tmm","http://www.ethnologue.com/show_language.asp?code=mla"
"1030","Ambrym, Southeast (Maat)","tvk",-16.3,168.22,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 178","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:78Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu","http://wals.info/languoid/lect/wals_code_sea","http://www.ethnologue.com/show_language.asp?code=tvk"
"1031","Bierebo (Burupika)","bnk",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 164","Number of Retentions: Proto Malayo-Polynesian:54","Proto-Oceanic:71Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Epi:Lamenu-Baki:Baki-Bierebo",NA,"http://www.ethnologue.com/show_language.asp?code=bnk"
"1032","Akei","tsr",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 163","Number of Retentions: Proto Malayo-Polynesian:53","Proto-Oceanic:74Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=tsr"
"1033","Morouas (Batunlamak)","mrp",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 116","Number of Retentions: Proto Malayo-Polynesian:43","Proto-Oceanic:50Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=mrp"
"1034","Dixon Reef","dix",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:54","Proto-Oceanic:73Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior:Small Nambas",NA,"http://www.ethnologue.com/show_language.asp?code=dix"
"1035","Lonwolwol","crc",-16.22,168,"Vanuatu","Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 168","Number of Retentions: Proto Malayo-Polynesian:54","Proto-Oceanic:74Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:East Vanuatu","http://wals.info/languoid/lect/wals_code_lnw","http://www.ethnologue.com/show_language.asp?code=crc"
"1036","Tangoa","tgp",NA,NA,NA,"Tryon (1976)","Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.","Typed By: Kirsty Maurits  Checked By:","Total Data: 161","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:70Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:West Santo",NA,"http://www.ethnologue.com/show_language.asp?code=tgp"
